productCode,prodName,productTypeNo,productTypeName,productGroupName,garmentGroupNo,garmentGroupName,detailDesc
108775,Strap top,253,Vest top,Garment Upper body,1002,Jersey Basic,Jersey top with narrow shoulder straps.
110065,OP T-shirt (Idro),306,Bra,Underwear,1017,"Under-, Nightwear","Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
111565,20 den 1p Stockings,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
111586,Shape Up 30 den 1p Tights,273,Leggings/Tights,Garment Lower body,1021,Socks and Tights,Tights with built-in support to lift the bottom. Black in 30 denier and light amber in 15 denier.
111593,Support 40 den 1p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,"Semi shiny tights that shape the tummy, thighs and calves while also encouraging blood circulation in the legs. Elasticated waist."
111609,200 den 1p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Opaque matt tights. 200 denier.
118458,Jerry jogger bottoms,272,Trousers,Garment Lower body,1002,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
120129,Babette long,273,Leggings/Tights,Garment Lower body,1005,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
123173,Control Top 50 den 1p Tights,273,Leggings/Tights,Garment Lower body,1021,Socks and Tights,50 denier tights with reinforcement at the top for a shaping effect on the tummy and thighs.
129085,Pirate Leggings (1),273,Leggings/Tights,Garment Lower body,1002,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.
130035,Black Umbrella,532,Umbrella,Items,1019,Accessories,Umbrella with a telescopic handle and matching cover. Length 23 cm folded.
146706,Tanktop body white 3PACK,256,Bodysuit,Garment Upper body,1002,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
146721,Hair Ring,73,Hair string,Accessories,1019,Accessories,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
148033,Nouvelle 1p Stay Up,273,Leggings/Tights,Garment Lower body,1021,Socks and Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
153115,OP Strapless^,306,Bra,Underwear,1017,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
156227,Box 4p Kneehighs,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Four pairs of knee highs. 20 denier.
156231,Box 4p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Matt tights with an elasticated waist. 20 denier.
158340,Highwaist 30 den 1p Tights,273,Leggings/Tights,Garment Lower body,1021,Socks and Tights,High-waisted tights that lift the bum and shape the waist and thighs. 30 denier.
160442,3p Sneaker Socks,302,Socks,Socks & Tights,1021,Socks and Tights,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
176209,Mr Harrington w/hood,308,Hoodie,Garment Upper body,1007,Outdoor,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
179123,Long Leggings,273,Leggings/Tights,Garment Lower body,1002,Jersey Basic,Jersey leggings with an elasticated waist.
179208,Control Top 100 den 1p Tights,273,Leggings/Tights,Garment Lower body,1021,Socks and Tights,Matt opaque tights with a control top to hold in the tummy and bum. 100 denier.
179950,Austin basic leather hip belt,67,Belt,Accessories,1019,Accessories,Leather belt with a metal buckle. Width 2.5 cm.
181448,Jenny 5-pack,302,Socks,Socks & Tights,1017,"Under-, Nightwear",Fine-knit socks.
182909,Fleece 1 p tights,273,Leggings/Tights,Garment Lower body,1021,Socks and Tights,Opaque tights with an elasticated waist and soft fleece inside.
186262,4p Claw,72,Hair clip,Accessories,1019,Accessories,Plastic hair claws. Width 2.5 cm.
186266,10p Basic Terry,73,Hair string,Accessories,1019,Accessories,Hair elastics with metal clips.
186267,12p Claw,72,Hair clip,Accessories,1019,Accessories,Mini plastic hair claws.
186372,Harem trousers,272,Trousers,Garment Lower body,1002,Jersey Basic,Harem trousers in jersey with elastication at the waist and hems.
188183,Spanx alot shape Swimsuit,57,Swimsuit,Swimwear,1018,Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
189616,Tina leggings,273,Leggings/Tights,Garment Lower body,1002,Jersey Basic,Leggings in extra sturdy jersey with an elasticated waist.
189626,Jodi skirt,275,Skirt,Garment Lower body,1002,Jersey Basic,"Short, bell-shaped skirt in stretch jersey with wide elastication at the waist. Unlined."
189634,Long Leg Leggings,273,Leggings/Tights,Garment Lower body,1002,Jersey Basic,Leggings in stretch jersey with an elasticated waist.
189654,Raven skirt,275,Skirt,Garment Lower body,1002,Jersey Basic,Short jersey skirt with an elasticated waist.
190021,Basic 5p Minishaftless,302,Socks,Socks & Tights,1021,Socks and Tights,"Fine-knit, shaftless socks."
194037,Fleece leggings 1 p,273,Leggings/Tights,Garment Lower body,1021,Socks and Tights,Opaque leggings with soft thermal fleece inside and elastication at the waist and hems.
198714,Babette cropped,273,Leggings/Tights,Garment Lower body,1005,Jersey Fancy,"3/4-length leggings in soft, organic cotton jersey with an elasticated waist."
200182,40 den 2p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Tights with an elasticated waist. 40 denier.
201219,Heavy plain 2 p tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Fine-knit tights with an elasticated waist.
205225,PICKUP ARTIST top,298,Bikini top,Swimwear,1018,Swimwear,"Bikini top with a wrapover front, side support, ties at the back of the neck and wide ties at the back. Lined."
212629,Alcazar strap dress,265,Dress,Garment Full body,1002,Jersey Basic,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
212766,Dean Drawstring Trousers.,272,Trousers,Garment Lower body,1009,Trousers,"Joggers in washed cotton twill with an elasticated drawstring waist, side and back pockets and elasticated hems. Loose fit."
214844,30p pins,72,Hair clip,Accessories,1019,Accessories,Metal hair grips. Length 5 cm.
215303,Coolio sunglasses,81,Sunglasses,Accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses."
215589,Mama 40 den 2p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Tights with extra space for a growing tummy. 40 denier.
216081,Norling Knit,245,Cardigan,Garment Upper body,1003,Knitwear,"Cardigan in a bouclé knit made from a wool blend with a shawl collar, zip at one side and long sleeves."
217727,Polly 3p minishaftless,302,Socks,Socks & Tights,1021,Socks and Tights,Shaftless socks. 80 denier.
218829,Paris glove.,71,Gloves,Accessories,1019,Accessories,"Gloves in soft, supple leather. Lined."
219075,Billy cargo pants,272,Trousers,Garment Lower body,1009,Trousers,"Cargo trousers in washed Oxford cotton with side pockets, back pockets and leg pockets with a flap and press-stud, seams at the knees and drawstring hems."
220094,Aguilera maxidress,265,Dress,Garment Full body,1002,Jersey Basic,Strapless maxi dress in jersey with an elasticated seam at the waist and slits in the sides. Integral top with elastication at the top.
224606,Flora hip belt (1),67,Belt,Accessories,1019,Accessories,Narrow belt in grained imitation leather with a metal buckle. Width 2 cm.
225784,HARLEY 2-pack basic tee,255,T-shirt,Garment Upper body,1002,Jersey Basic,Short-sleeved tops in cotton jersey.
228257,20 den 2p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Tights with an elasticated waist. 20 denier.
234421,Mama 200 den Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,"Matt, opaque tights with extra room for a growing tummy. 200 denier."
234432,Push Up 30 den 1p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Push-up tights that lift and shape with an elasticated waist. 30 denier.
237347,Theron,308,Hoodie,Garment Upper body,1002,Jersey Basic,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem."
240561,Support 70 den 1p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,"Semi shiny tights that shape the tummy, thighs and calves, while also encouraging blood circulation in the legs. Elasticated waist. 70 denier."
241412,AOP Leggings,273,Leggings/Tights,Garment Lower body,1009,Trousers,Leggings in patterned jersey with an elasticated waist.
243937,Straight Edge 5p Socks,302,Socks,Socks & Tights,1021,Socks and Tights,Fine-knit socks in a soft cotton blend.
244267,Silver lake,252,Sweater,Garment Upper body,1003,Knitwear,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.
251510,Push up 70 den 1p Tights,304,Underwear Tights,Socks & Tights,1021,Socks and Tights,Push-up tights that lift and shape with an elasticated waist. 70 denier.
252298,Didi denim,272,Trousers,Garment Lower body,1013,Dresses Ladies,"Jeans in washed, stretch denim with hard-worn details, a regular waist, front and back pockets and skinny legs."
253176,PICKUP ARTIST cheeky brief,59,Swimwear bottom,Swimwear,1018,Swimwear,Fully lined bikini bottoms with a low waist and cut-out sections at the sides.
253448,OP Push Melbourne^,306,Bra,Underwear,1017,"Under-, Nightwear","Push-up bra in microfibre with underwired, moulded, padded cups for a larger bust and fuller cleavage, adjustable shoulder straps and a hook-and-eye fastening at the back."
254940,Elsa high waist,272,Trousers,Garment Lower body,1009,Trousers,5-pocket trousers in superstretch twill with slim legs and a high waist.
256151,Superstretch Fancy denim,272,Trousers,Garment Lower body,1013,Dresses Ladies,"Low-rise trousers in washed, superstretch twill with front and back pockets and skinny legs."
258650,Berlin boot,87,Boots,Shoes,1020,Shoes,"Ankle boots in imitation suede with elastic gores in the sides, fabric linings and insoles and rubber soles. Heel 6.5 cm."
264984,Billie,254,Top,Garment Upper body,1002,Jersey Basic,Fitted top in jersey with a wide neckline and short sleeves.
265630,Invisible 3p minishaftless,302,Socks,Socks & Tights,1021,Socks and Tights,Shaftless socks in thin cotton jersey with a silicone trim around the heel.
